ID,vehID,Delay,RedArrival,SplitFailure,SignalID,ApproachDirection,TravelDirection,ETT,TravelTime,ExitStatus,Day,Stops,Uturn
1,0046ce44d2318eccb7fe3daef434ddf29ba5ab1c,4.96600,NULL,NULL,1037,Westbound,Straight,9.587,14.553,NULL,1,0,No
2,005b4f74f67c5ee1eb85fda9bd4fdf97f93eb760,1.11500,No,No,1037,Westbound,Straight,9.587,10.702,NULL,1,0,No
3,005d5334dafc6ef4dae082173198f26f1861c578,18.17200,No,No,1037,Westbound,Right,9.587,27.759,NULL,1,1,No
4,00712e3a8e7fc51fb0d619c6543c39c07ad63763,4.58100,NULL,NULL,1037,Westbound,Straight,9.587,14.168,NULL,1,0,No
5,00926d2c7b9803a28274bdde6dbbb9485101909d,5.69800,Yes,No,1037,Westbound,Straight,9.587,15.285,NULL,1,0,No
6,01312248aadc63bdf4e0038a00e77408124b4563,26.43500,NULL,NULL,1037,Westbound,Straight,9.587,36.022,NULL,1,1,No
7,016130f3bcba8d54b53531c8d501e057af3f6c7a,59.00700,NULL,NULL,1037,Northbound,Straight,7.456,66.463,NULL,1,1,No
8,01a0c50d0a2e8c7a9efff645931e7d81fabf6cc5,21.62200,Yes,No,1037,Westbound,Straight,9.587,31.209,NULL,1,1,No
9,01b5eaa5a0fc1e8fadb107e4a5468f6ac733e03c,2.51800,No,No,1037,Westbound,Straight,9.587,12.105,NULL,1,0,No
10,01bd3fbd3d1126c624f1c5a0c6078bf162d0bc79,1.10200,No,No,1037,Westbound,Straight,9.587,10.689,NULL,1,0,No
11,0295a4a989e90b34de21b31dc2eb3e11ffb2d356,33.12000,Yes,No,1037,Westbound,Straight,9.587,42.707,NULL,1,1,No
12,0306722d36d240e5379aef96e6b397ab7420b1de,2.16300,NULL,NULL,1037,Westbound,Right,9.587,11.750,NULL,1,0,No
13,0335e4b22c6fe7dc0e39c60bef899530de0b5414,41.00600,NULL,NULL,1037,Westbound,Straight,9.587,50.593,NULL,1,1,No
14,035e784773410fc39f85caadb6bbee8caae57849,47.75100,Yes,No,1037,Northbound,Left,7.456,55.207,NULL,1,1,No
15,03792346cb9047fc25dbcb49f9536dab73fde02c,12.82300,Yes,No,1037,Northbound,Straight,7.456,20.279,NULL,1,0,No
16,03ae6f9fa803e82058e4d0d6ec72c92cb67949de,8.21100,No,No,1037,Eastbound,Straight,9.587,17.798,NULL,1,0,No
17,03f24b7bc51827228fd8a7a857e0bb31fa523103,0.00000,No,No,1037,Westbound,Straight,9.587,7.063,NULL,1,0,No
18,0415cb6b1adccf7a02f2a500e40f9c09952fa4bc,53.67100,Yes,No,1037,Northbound,Left,7.456,61.127,NULL,1,1,No
19,045d529ec3feaecf6e18f8dac0c16402af7956dc,3.52500,NULL,NULL,1037,Westbound,Straight,9.587,13.112,NULL,1,0,No
20,04937370d2556207a1fbe9c9fb92aba144c5f93a,49.84200,Yes,No,1037,Eastbound,Left,9.587,59.429,NULL,1,1,No
21,04b0f3e5111fe0a5ed28acb7a2920805aa312edb,54.60500,NULL,NULL,1037,Northbound,Straight,7.456,62.061,NULL,1,2,No
22,04d09fa376c27ec8987c085718d652754467222e,88.15000,No,No,1037,Eastbound,Straight,9.587,97.737,NULL,1,1,No
23,05bd17ee3a9b30e159ffee2616fc9225b580c294,24.09700,Yes,No,1037,Westbound,Straight,9.587,33.684,NULL,1,1,No
24,05c0ca053a53326ff37bc9e763aa94d6f412e0a0,0.85900,No,No,1037,Westbound,Straight,9.587,10.446,NULL,1,0,No
25,061cc384c60e6225f3f5cd1764955a788619809d,13.20100,No,No,1037,Westbound,Straight,9.587,22.788,NULL,1,1,No
26,0628cf2cdf54aaa430fdc017f440cfc36db2be43,50.76500,Yes,No,1037,Northbound,Straight,7.456,58.221,NULL,1,1,No
27,066e99282d1c2ee434e4c5238149b259a79abeb2,96.95800,No,No,1037,Westbound,Straight,9.587,106.545,NULL,1,1,No
28,06b59bc2a1f387b746f073263f742d4f2a1c99f2,18.32200,Yes,No,1037,Westbound,Straight,9.587,27.909,NULL,1,1,No
29,06c0ed93baf0fc4bef6288d4e78aede7eb188c96,2.70400,No,No,1037,Westbound,Straight,9.587,12.291,NULL,1,0,No
30,06ffe10dc808694107fb136df2b7cf5d57e7c4df,3.45500,No,No,1037,Westbound,Straight,9.587,13.042,NULL,1,0,No
31,070c41f98e35931ecf03bb6bff957a1645b88e09,0.00000,No,No,1037,Westbound,Straight,9.587,6.631,NULL,1,0,No
32,07402df348307ddf3af6179ef27c44941f6b26c8,8.08900,No,No,1037,Eastbound,Straight,9.587,17.676,NULL,1,0,No
33,07577d8828390e2271fe0e21b6597fd09b9a7089,8.14300,No,No,1037,Westbound,Straight,9.587,17.730,NULL,1,0,No
34,075ac0146ed1f6dc5f36ea053054266c6e571796,68.64600,Yes,No,1037,Westbound,Straight,9.587,78.233,NULL,1,1,No
35,07db4eee42915d723bfe1f40f769f1a1db923981,31.93800,Yes,No,1037,Westbound,Straight,9.587,41.525,NULL,1,1,No
36,07f4c49c346218786346813a98ebd651220869a2,70.46500,Yes,No,1037,Eastbound,Straight,9.587,80.052,NULL,1,1,No
37,0813402b7968b58097348b26d4429c5a6a024900,23.36600,No,No,1037,Westbound,Straight,9.587,32.953,NULL,1,1,No
38,081f27fce316c31bdd08827dd025bcdc0fa94e8f,20.18600,NULL,NULL,1037,Westbound,Left,9.587,29.773,NULL,1,1,No
39,092271922fb49ed0cf100832adfcfc4a3439ef3e,51.53600,Yes,No,1037,Northbound,Straight,7.456,58.992,NULL,1,2,No
