ID,vehID,Delay,RedArrival,SplitFailure,SignalID,ApproachDirection,TravelDirection,ETT,TravelTime,ExitStatus,Day
19271,5ed009c28910d63362af3d189dee9d03fba2ab8e,72.98000,Yes,No,3084,Eastbound,Straight,9.587,82.567,NULL,23
19272,5f176683e5bbc92123f02fdd326f059db253ad0f,0.00000,No,No,3084,Southbound,Straight,9.587,9.141,NULL,23
19273,5f1ff4b39f31982e5a8c99fc31ec061552cbe3b2,97.17900,No,No,3084,Westbound,Straight,9.587,106.766,NULL,23
19274,5f39acf45aaa91c552959b69587470e30cbe6965,125.51100,No,No,3084,Eastbound,Right,9.587,135.098,NULL,23
19275,5f4381af7bd9ddc760c950e8efc585e2405b64bd,196.88600,Yes,Yes,3084,Eastbound,Left,9.587,206.473,NULL,23
19276,5f4e4e80d00b02f42ec22ec81af916f3b33331fd,91.62800,Yes,No,3084,Eastbound,Left,9.587,101.215,NULL,23
19277,5f512cc744d72d92cdbd6a603b14ef24f6bffbb3,7.15300,No,No,3084,Westbound,Straight,9.587,16.740,NULL,23
19278,5f999412b8f4abb70a6171ef635fc16f3ee615c0,70.50200,Yes,No,3084,Northbound,Straight,7.456,77.958,NULL,23
19279,5fca9708b2141c752d6780187c1c188d951c864c,91.33100,Yes,No,3084,Eastbound,Straight,9.587,100.918,NULL,23
19280,5fdd5eb45e615fe41bc4633124c04bcbf800d93c,83.38600,Yes,No,3084,Southbound,Straight,9.587,92.973,NULL,23
19281,5fe57987725aa1d61baa3ed47da7d39324b657eb,32.91500,Yes,No,3084,Southbound,Straight,9.587,42.502,NULL,23
19282,5fed534f5679e4a2fdf387451ab9cfbb1c71f64c,103.16100,No,No,3084,Westbound,Straight,9.587,112.748,NULL,23
19283,5fffaad05d67574c39962baaf82ca052ceae4353,86.22200,Yes,No,3084,Northbound,Left,7.456,93.678,NULL,23
19284,6009ab15607bd29256e39fcb11d02b6edac521f6,230.63800,Yes,Yes,3084,Westbound,Left,9.587,240.225,NULL,23
19285,6017793fb82916051072b44e208fa8562afe634f,128.83700,Yes,No,3084,Northbound,Left,7.456,136.293,NULL,23
19286,6040e784977e0721e2e52fb0b082b8b4ae1aff9a,108.93800,Yes,No,3084,Eastbound,Straight,9.587,118.525,NULL,23
19287,6042038530822705fcfc1aacc1a5449e5d2c7e1e,0.00000,No,No,3084,Eastbound,Straight,9.587,7.953,NULL,23
19288,60780a91e3348fab60f4562811391efcff71355c,75.92200,Yes,No,3084,Eastbound,Straight,9.587,85.509,NULL,23
19289,607b99e0fa0dd1c3a350778e173dec4723ffa7ab,5.11700,No,No,3084,Westbound,Left,9.587,14.704,NULL,23
19290,60f53d9e0ee6f5f68be609e68343e3e52d83fc22,0.64300,No,No,3084,Westbound,Straight,9.587,10.230,NULL,23
19291,612d51c549af6b77038faa6f954c56830ac1e815,6.40100,No,No,3084,Westbound,Straight,9.587,15.988,NULL,23
19292,61391504edec3b5a0b9be7696b77a6896dc12566,60.59100,Yes,No,3084,Southbound,Left,9.587,70.178,NULL,23
19293,61595619bf61385210ad71583e322e91d556e9b0,90.86900,Yes,No,3084,Westbound,Right,9.587,100.456,NULL,23
19294,6165d5f6c51d423366a08e6aa44cce482021e3eb,87.13500,Yes,No,3084,Eastbound,Straight,9.587,96.722,NULL,23
19295,6196ba9adc5b6a70a8752ca905678fafc5ca6b4b,201.91700,Yes,No,3084,Westbound,Left,9.587,211.504,NULL,23
19296,61c305b7c2c8cd8dcea1bd6037d558e175d564c3,61.84500,Yes,No,3084,Northbound,Left,7.456,69.301,NULL,23
19297,61d013390701c40269d6accbd793bc1d1833b784,124.65400,Yes,No,3084,Westbound,Left,9.587,134.241,NULL,23
19298,61d73e3c8005480363c544c895ed1b58941770ef,55.47600,Yes,No,3084,Southbound,Straight,9.587,65.063,NULL,23
19299,61e04daac334330444acbd28ad620a5102064c5b,68.74300,Yes,No,3084,Northbound,Straight,7.456,76.199,NULL,23
19300,62163dd84947edba96e992d98aa343db7eaecd4a,38.05800,Yes,No,3084,Northbound,Right,7.456,45.514,NULL,23
19301,621edeea0a7833142529eff0b773b2f4bd2a2a84,13.49900,No,No,3084,Eastbound,Right,9.587,23.086,NULL,23
19302,6237f74804780c3b3f3483c021dfb193aba6b0f2,75.57600,Yes,No,3084,Westbound,Straight,9.587,85.163,NULL,23
19303,627de59fd52f97e547bcdca3c759e9961af28bec,128.57400,Yes,No,3084,Eastbound,Straight,9.587,138.161,NULL,23
19304,62bf05ff97b18755e367ac90fee576cc7d0e7829,93.17000,Yes,No,3084,Northbound,Left,7.456,100.626,NULL,23
19305,62cd3c45c44c167bcaa338d8a630ead23600bbe5,3.03900,Yes,No,3084,Southbound,Right,9.587,12.626,NULL,23
19306,62f9f9c0425f3ee8eb48f54b828126522e1ad428,64.61500,Yes,No,3084,Westbound,Straight,9.587,74.202,NULL,23
19307,630f491ab895bc055a93fb9c76fbe9ba4b0e134a,100.30100,Yes,No,3084,Northbound,Straight,7.456,107.757,NULL,23
19308,631143b6a87cc3937cf60306753a429e598ae420,109.74200,No,No,3084,Westbound,Straight,9.587,119.329,NULL,23
19309,6361a32b4c27ac7b2ce7f780a595f3eb9be57c3a,1.96000,No,No,3084,Northbound,Straight,7.456,9.416,NULL,23
19310,6382a13b2d30b0b90d5a5d30ed9279aa6b6536eb,35.76900,Yes,No,3084,Southbound,Straight,9.587,45.356,NULL,23
19311,638e3c183643c7f97165a1338d050a240570cae5,231.43700,NULL,NULL,3084,Eastbound,Left,9.587,241.024,NULL,23
19312,63a700a50a98965a84a8438e3bfd0da3d12554e4,46.92200,Yes,No,3084,Westbound,Left,9.587,56.509,NULL,23
19313,63b5ddb12de5e39d88fe651dc272c8f425cf611f,118.90900,No,No,3084,Eastbound,Straight,9.587,128.496,NULL,23
19314,63b72d2b111cb2b4152e975322cb18172fbcc8d2,93.21100,Yes,No,3084,Southbound,Left,9.587,102.798,NULL,23
19315,63c8d0adee73b5e7dda9bb8a1446a6f88857d432,49.30300,Yes,No,3084,Southbound,Left,9.587,58.890,NULL,23
19316,63dc159eea98b8554cb8c9072f97f0417403122f,149.71200,No,No,3084,Southbound,Left,9.587,159.299,NULL,23
19317,63fc1a1f750c5ce29d17eb3d0bcd693ada7bbb7d,112.92700,Yes,No,3084,Northbound,Straight,7.456,120.383,NULL,23
19318,640457e59af036e57241baab0d287279a7eff5c1,3.20800,No,No,3084,Northbound,Right,7.456,10.664,NULL,23
19319,6419f15ad9c4f9e51976b59c1f26179d7ca46279,3.16600,No,No,3084,Westbound,Straight,9.587,12.753,NULL,23
19320,641b5eb4e8acfccc81d7574039bd488971a4a4de,268.05700,No,No,3084,Northbound,Left,7.456,275.513,NULL,23
19321,6457cf56975369c2418bb157b7aaa36c6424246c,133.16700,Yes,No,3084,Northbound,Straight,7.456,140.623,NULL,23
19322,647403ae1e1605d366da530397e24cf5407d8e82,88.37500,Yes,No,3084,Southbound,Straight,9.587,97.962,NULL,23
19323,647666c007b1c0896ae52b68c1c5a4b9aef1eed4,48.76100,No,No,3084,Northbound,Straight,7.456,56.217,NULL,23
19324,64870eec70c3a811323395abf5e8a524eaab1f6c,69.06000,Yes,No,3084,Westbound,Straight,9.587,78.647,NULL,23
19325,649f75e9abe012ebf0c75344248098c2df191bec,8.43000,No,No,3084,Westbound,Straight,9.587,18.017,NULL,23
19326,64a6ee23c800e3a6fef7183ec6f0eb26192ea73e,35.38400,Yes,No,3084,Northbound,Left,7.456,42.840,NULL,23
19327,64c0ef42b672b709f1de024f8a8ffbca00358a74,5.09800,No,No,3084,Southbound,Straight,9.587,14.685,NULL,23
19328,64d91b795dcc98def9655d28ec5bba2a2a8cbabb,54.59100,No,No,3084,Eastbound,Straight,9.587,64.178,NULL,23
