ID,vehID,EntryTime,ExitTime,TravelDirection,ApproachDirection,Day,SignalID,Stops,Uturn
3479,99aaff61d720b8d149bac6fbaf6672dc5915164c,"2021-07-02 08:53:42.197","2021-07-02 08:54:35.765",Right,Eastbound,3,1113,1,No
3480,99add9ff956e50f62fc67b76817aca32ec59acd3,"2021-07-01 17:57:38.815","2021-07-01 17:59:00.428",Left,Northbound,3,1113,1,No
3481,99e309d42ecedcd430c86fcfe72319c0c39e14a8,"2021-07-02 14:01:16.893","2021-07-02 14:02:50.751",Straight,Westbound,3,1113,1,No
3482,99fbf523009128ed35ca1e460811f44ee9a4c992,"2021-07-02 10:35:50.611","2021-07-02 10:37:48.135",Straight,Southbound,3,1113,1,No
3483,9a38fa1dab1bab0c44e10b6ff22eab0bdf794cf1,"2021-07-02 02:03:11.350","2021-07-02 02:03:30.455",Straight,Northbound,3,1113,0,No
3484,9a50dedb3abc30c3957c1b56110aae189fa0010a,"2021-07-02 08:49:10.635","2021-07-02 08:50:01.397",Right,Northbound,3,1113,1,No
3485,9a54c2c56d88b1c25a65597be3b9c58677fc5a69,"2021-07-02 08:23:30.012","2021-07-02 08:24:26.247",Straight,Westbound,3,1113,1,No
3486,9a7d4b212865341ffa1d1bbb0baaffa14dd43eb1,"2021-07-01 18:57:03.978","2021-07-01 18:57:16.916",Right,Northbound,3,1113,0,No
3487,9a8d76c029a2d72b22a0bc024aff60ac75316886,"2021-07-01 19:24:30.092","2021-07-01 19:25:18.342",Right,Westbound,3,1113,1,No
3488,9adbfe8227d69b27ef7781aad22aad23742e8cba,"2021-07-02 15:10:10.781","2021-07-02 15:11:44.292",Straight,Westbound,3,1113,1,No
3489,9b296fa497a588063786f1543adb32e14b18d9cf,"2021-07-02 16:44:07.589","2021-07-02 16:46:08.237",Straight,Southbound,3,1113,1,No
3490,9b41be4fef0b48148ee1623aebeaad976ffe1091,"2021-07-01 19:25:35.841","2021-07-01 19:25:57.047",Straight,Eastbound,3,1113,0,No
3491,9b6b1bb93995a80a7cb90fb0310918e8addcc351,"2021-07-02 09:55:59.804","2021-07-02 09:56:19.731",Left,Northbound,3,1113,0,No
3492,9b6f6aa55441da22482c01a3efb559900e757c80,"2021-07-02 16:47:41.732","2021-07-02 16:48:06.858",Straight,Eastbound,3,1113,1,No
3493,9ba1e2c91caa122cf346904a18417b63f43881a6,"2021-07-02 14:59:54.973","2021-07-02 15:01:28.354",Right,Northbound,3,1113,1,No
3494,9ba4b611d16ce3ee4e4d06a0a3919b10b21f4fd8,"2021-07-02 14:38:54.791","2021-07-02 14:40:16.627",Straight,Southbound,3,1113,2,No
3495,9be1378f5cba9740d2e25781c83b3f3aeaebb185,"2021-07-02 16:30:10.469","2021-07-02 16:30:20.655",Straight,Westbound,3,1113,0,No
3496,9be96d90dc8c78e482a91077db43d666903dee1e,"2021-07-02 09:32:56.322","2021-07-02 09:33:23.699",Straight,Westbound,3,1113,1,No
3497,9bf6733d8346a74bff4ba895a7f673825f97eb4f,"2021-07-02 16:14:38.997","2021-07-02 16:14:55.778",Straight,Eastbound,3,1113,0,No
3498,9c1fe57399b49df49ea3cde9a8621787f62d2623,"2021-07-02 06:56:50.103","2021-07-02 06:57:03.779",Straight,Eastbound,3,1113,0,No
3499,9c5d07a9bbaad017738efc96f342872c9c49f1c0,"2021-07-02 16:47:54.667","2021-07-02 16:48:08.850",Straight,Eastbound,3,1113,0,No
3500,9ca7b0e1b6e19eecfc270d034ba11f5034b54a35,"2021-07-02 16:39:20.095","2021-07-02 16:39:27.581",Straight,Westbound,3,1113,0,No
3501,9cb17431ca053d897d7b38b5a6aff245e11b54cd,"2021-07-02 16:26:22.906","2021-07-02 16:28:24.477",Straight,Southbound,3,1113,1,No
3502,9cb9bfec423a0f47d4023b782a4f8ac4bce1d1ff,"2021-07-02 15:09:38.013","2021-07-02 15:10:07.105",Left,Southbound,3,1113,1,No
3503,9cd9fa3faedf0b02918683468ce939f1cac28057,"2021-07-02 09:59:47.076","2021-07-02 10:00:00.457",Straight,Eastbound,3,1113,0,No
3504,9d183b048bfdb90eb9d95c09875de2c3876c349e,"2021-07-02 11:36:38.330","2021-07-02 11:38:56.004",Left,Westbound,3,1113,1,No
3505,9d5a0f73850844ad0745c99207f688a060366e76,"2021-07-02 09:46:52.718","2021-07-02 09:47:45.584",Straight,Westbound,3,1113,1,No
3506,9d80fd279aa43659646190ffd18d4d9ad09bc9f3,"2021-07-02 08:39:54.032","2021-07-02 08:40:45.427",Straight,Southbound,3,1113,1,No
3507,9dca6afaf09ba3c0fda5e20c1739f7d7d7a02cee,"2021-07-01 18:06:17.026","2021-07-01 18:07:02.670",Left,Northbound,3,1113,1,No
3508,9e0597f550a9123b3114e63eecda0185a0835c1a,"2021-07-02 10:29:47.984","2021-07-02 10:29:59.920",Right,Westbound,3,1113,0,No
3509,9e79f588186e942d76b56f5b488f0c8dbbdc4681,"2021-07-02 14:20:37.488","2021-07-02 14:22:05.476",Straight,Southbound,3,1113,1,No
3510,9e7c84fd83044930ad4cedb2e69c9640285f498a,"2021-07-02 05:50:43.232","2021-07-02 05:50:54.732",Straight,Eastbound,3,1113,0,No
3511,9eaae930e9a09def1b33a35f0bfbf65c3d432418,"2021-07-01 20:00:20.767","2021-07-01 20:00:29.225",Straight,Westbound,3,1113,0,No
3512,9ec53b0878b8faf720710965461ae133bad7b9b5,"2021-07-02 06:53:38.667","2021-07-02 06:54:05.257",Straight,Eastbound,3,1113,0,No
3513,9eeeb4d594b1ddbfcc20d32113601cab77fc2f39,"2021-07-02 06:08:46.975","2021-07-02 06:09:16.875",Straight,Eastbound,3,1113,1,No
3514,9ef7b11ea7ef1ed2883363989e68e6047ad51668,"2021-07-01 19:25:12.045","2021-07-01 19:25:42.289",Straight,Eastbound,3,1113,1,No
3515,9f2459349ff394c611b739d2f1d66c9940390dc5,"2021-07-02 07:20:03.967","2021-07-02 07:21:05.113",Right,Eastbound,3,1113,1,No
